010001,ΤΗΛΕΜΑ-837-Κυριακή-30,17
010002,ΤΗΛΕΜΑ-837-Κυριακή-30,18
010003,ΤΗΛΕΜΑ-837-Κυριακή-30,19
010003,CALEND-830-Κυριακή-04,2
010004,ΤΗΛΕΜΑ-837-Κυριακή-30,20
010005,ΤΗΛΕΜΑ-837-Κυριακή-30,24
010006,ΤΗΛΕΜΑ-837-Κυριακή-30,25
010007,CALEND-892-Κυριακή-04,5
010008,ΤΗΛΕΜΑ-837-Κυριακή-30,15
010008,CALEND-892-Κυριακή-04,46
010008,CALEND-Α16-876-Κυριακή-01,33
010008,CALEND-Γ16-866-Κυριακή-01,36
010011,ΤΗΛΕΜΑ-837-Κυριακή-30,27
010011,CALEND-830-Κυριακή-04,55
010012,ΤΗΛΕΜΑ-837-Κυριακή-30,28
010012,CALEND-830-Κυριακή-04,56
010013,CALEND-830-Κυριακή-04,53
010014,ΤΗΛΕΜΑ-837-Κυριακή-30,1
010016,ΤΗΛΕΜΑ-837-Κυριακή-30,3
010016,CALEND-830-Κυριακή-04,11
010017,ΤΗΛΕΜΑ-837-Κυριακή-30,4
010017,CALEND-830-Κυριακή-04,12
010018,ΤΗΛΕΜΑ-837-Κυριακή-30,5
010018,CALEND-830-Κυριακή-04,13
010023,ΤΗΛΕΜΑ-837-Κυριακή-30,9
010024,ΤΗΛΕΜΑ-837-Κυριακή-30,11
010024,CALEND-830-Κυριακή-04,62
010024,CALEND-892-Κυριακή-04,7
010025,ΤΗΛΕΜΑ-837-Κυριακή-30,12
010025,CALEND-892-Κυριακή-04,8
010026,ΤΗΛΕΜΑ-837-Κυριακή-30,13
010028,CALEND-892-Κυριακή-04,44
010028,CALEND-Α16-876-Κυριακή-01,31
010028,CALEND-Γ16-866-Κυριακή-01,34
010028,CALEND-803-Κυριακή-02,21
010029,CALEND-830-Κυριακή-04,3
010030,CALEND-830-Κυριακή-04,4
010031,CALEND-830-Κυριακή-04,63
010032,CALEND-750-Κυριακή-07,28
010032,CALEND-806-807-Κυριακή-01,44
010032,CALEND-830-Κυριακή-04,15
010032,CALEND-831-Κυριακή-04,17
010036,CALEND-830-Κυριακή-04,61
010036,CALEND-892-Κυριακή-04,6
010037,CALEND-806-807-Κυριακή-01,41
010037,CALEND-831-Κυριακή-04,13
010037,CALEND-892-Κυριακή-04,2
010040,CALEND-806-807-Κυριακή-01,42
010040,CALEND-831-Κυριακή-04,14
010040,CALEND-892-Κυριακή-04,3
010041,CALEND-806-807-Κυριακή-01,43
010041,CALEND-892-Κυριακή-04,4
010042,CALEND-806-807-Κυριακή-01,25
010042,CALEND-831-Κυριακή-04,31
010043,CALEND-806-807-Κυριακή-01,26
010043,CALEND-831-Κυριακή-04,32
010044,CALEND-750-Κυριακή-07,25
010044,CALEND-831-Κυριακή-04,15
010044,CALEND-856-Κυριακή-06,42
010045,CALEND-750-Κυριακή-07,27
010045,CALEND-831-Κυριακή-04,16
010045,CALEND-856-Κυριακή-06,44
010046,CALEND-831-Κυριακή-04,29
010047,CALEND-750-Κυριακή-07,22
010047,CALEND-831-Κυριακή-04,30
010047,CALEND-856-Κυριακή-06,2
010048,CALEND-750-Κυριακή-07,24
010048,CALEND-856-Κυριακή-06,41
010049,CALEND-750-Κυριακή-07,26
010049,CALEND-856-Κυριακή-06,43
010053,CALEND-750-Κυριακή-07,23
010053,CALEND-856-Κυριακή-06,3
010054,CALEND-830-Κυριακή-04,7
010056,ΤΗΛΕΜΑ-837-Κυριακή-30,7
010057,ΤΗΛΕΜΑ-837-Κυριακή-30,22
010058,ΤΗΛΕΜΑ-837-Κυριακή-30,8
